source,host,reason,declined_on
Gum — Unenumerated,Of Other Sorts,"The host is a de-headed GENERIC name; folding into it would cement a bad label on real gum data. Declined iteration 23, re-proposed by the tool on the 2026-07-31 re-run - which is why this file exists.",2026-07-23
"Skins, Furs, And Pelts — Unenumerated : Undressed","Skins And Furs — Goat, Undressed",Same shape as the Gum decline in the other direction: Unenumerated is not Goat. An unenumerated residual line and a named sub-sort are different printed lines however well two years agree.,2026-07-31
Seeds — Rape,Hemp,"GBP23.2M and semantically wrong - rape seed is not hemp. Two years agreeing to the digit is the matcher bar, not a licence to merge two differently NAMED commodities. Re-open only with the printed page in hand.",2026-07-31
"Wood And Timber — Hewn, Unenumerated",Wood And Timber — Unenumerated,"GBP5.9M. ""Hewn"" is a real printed sub-sort of wood and timber, so this may be a sub-sort being folded into its own PARENT, which would double-count rather than complete. Needs the printed page before any fold.",2026-07-31
Wood And Timber — Mahogany,Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,DIRECTION IS WRONG. The sub-label is the damaged name and mahogany is the repaired commodity; the correct fold is the reverse and was applied 2026-07-31 (commit d38cef5). Declined iteration 23.,2026-07-23
"Copper — Manufactures Of, Unenumerated","Copper — Manufactures Of, Unenumerated,   Including Copper Coin","CORRECT BUT UNAPPLICABLE - a true era-wording pair (2 years to the digit); the decline is NOT a judgement on the evidence. Applying it takes the host 1887 from exact01 to nodata, a year NEITHER node touches: the explicit fold changes fold_era_wordings bucket membership in build_viz_payload and an AUTOMATIC era-fold that had been supplying 1887 stops firing. Both scoping to safe_scope and widening to include 1887 were tested 2026-07-31 and neither helps. Same mechanism as iteration 18, same commodity. Re-open when fold_era_wordings is fixed.",2026-07-31
"Cordage, Twine, And Cable Yarn — Unmanufactured",Cork — Unmanufactured,"Single-year arithmetic match with NO name relation: ""Unmanufactured"" is a generic article shared by many commodities, and cordage is not cork. One agreeing year is coincidence-grade on its own - across this space a single-year test is expected to throw ~180 false positives.",2026-07-31
Feathers And Down — Sardines,Other Sorts Of Shell Fish,"Single-year arithmetic match with NO name relation: sardines are not shell fish, and this proposes the SAME host as the Fish source above - two unrelated sources pointing at one host is a coincidence signature, not a defect signature. One agreeing year is coincidence-grade on its own - across this space a single-year test is expected to throw ~180 false positives.",2026-07-31
"Bones (Except Whalebone), Whether Burnt Or Not, Or As Animal Charcoal — Brass, Bronze, And Metal Bronzed Or Lacquered. Manufactures Of, Unenumerated",Brass And Bronze Manufactures,Single-year arithmetic match with NO name relation: bones and brass/bronze manufactures have no relation whatever. One agreeing year is coincidence-grade on its own - across this space a single-year test is expected to throw ~180 false positives.,2026-07-31
"Fish (Including Turtle) — Fresh (Not Of British Taking) : Shell Fish, Other Sorts",Other Sorts Of Shell Fish,"Single-year arithmetic match with NO name relation: the article names a fish line and the host is Other Sorts Of Shell Fish; no name relation, so a single agreeing year is coincidence-grade evidence. One agreeing year is coincidence-grade on its own - across this space a single-year test is expected to throw ~180 false positives.",2026-07-31
"Buttons And Strips, Not Of Metal — L Of All Sorts",Candles Of All Sorts,"Single-year arithmetic match with NO name relation: ""L Of All Sorts"" may or may not be ""Candles Of All Sorts"" truncated; one agreeing year cannot decide it. One agreeing year is coincidence-grade on its own - across this space a single-year test is expected to throw ~180 false positives.",2026-07-31
Bark — Cocaine,Cochineal (Including Granilla And Dust),Single-year arithmetic match with NO name relation: cocaine and cochineal are different commodities; a plausible-looking garble is not a garble. One agreeing year is coincidence-grade on its own - across this space a single-year test is expected to throw ~180 false positives.,2026-07-31
